PersonID,Full_Name,Preferred_Name,Login_Name,Email_Address,Phone_Number,Is_Employee,Is_Salesperson,Is_System_User,Is_Permitted_To_Login,Employment_Started_When,Employment_Ended_When,Days_Worked,Version_Source
2,Kayla Woodcock,Kayla,kaylaw@wideworldimporters.com,kaylaw@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
4,Isabella Rupp,Isabella,isabellar@wideworldimporters.com,isabellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
5,Eva Muirden,Eva,evam@wideworldimporters.com,evam@wideworldimporters.com,(415) 555-0102,1,0,1,0,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
12,Henry Forlonge,Henry,henryf@wideworldimporters.com,henryf@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
16,Archer Lamble,Archer,archerl@wideworldimporters.com,archerl@wideworldimporters.com,(415) 555-0102,1,1,1,0,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
18,Katie Darwin,Katie,katied@wideworldimporters.com,katied@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/31/2016,###############################################################################################################################################################################################################################################################,3232,Current
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,1/1/2013,0,History
4,Isabella Rupp,Isabella,isabellar@wideworldimporters.com,isabellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/1/2013,1/1/2013,0,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/1/2013,1/4/2013,3,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,1/5/2013,4,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/1/2013,1/6/2013,5,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,1/9/2013,8,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,1/11/2013,10,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,1/11/2013,10,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,1/14/2013,13,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/11/2013,1/16/2013,5,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/11/2013,1/17/2013,6,History
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/1/2013,1/19/2013,18,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,1/19/2013,18,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/4/2013,1/21/2013,17,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/6/2013,1/21/2013,15,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/5/2013,1/22/2013,17,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/16/2013,1/22/2013,6,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/21/2013,1/26/2013,5,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,1/30/2013,29,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/14/2013,1/31/2013,17,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/17/2013,2/8/2013,22,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,2/9/2013,39,History
12,Henry Forlonge,Henry,henryf@wideworldimporters.com,henryf@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/1/2013,2/11/2013,41,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/1/2013,2/11/2013,41,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/19/2013,2/14/2013,26,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/21/2013,2/14/2013,24,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/9/2013,2/16/2013,38,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/16/2013,2/18/2013,2,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/30/2013,2/20/2013,21,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/14/2013,2/20/2013,6,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/22/2013,2/26/2013,35,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/26/2013,3/7/2013,9,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/9/2013,3/9/2013,28,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,2/14/2013,3/11/2013,25,History
2,Kayla Woodcock,Kayla,kaylaw@wideworldimporters.com,kaylaw@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/1/2013,3/15/2013,73,History
4,Isabella Rupp,Isabella,isabellar@wideworldimporters.com,isabellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/1/2013,3/17/2013,75,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/20/2013,3/22/2013,30,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/18/2013,3/24/2013,34,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/22/2013,3/27/2013,5,History
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/19/2013,3/31/2013,71,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,3/11/2013,4/15/2013,35,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/24/2013,4/18/2013,25,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/27/2013,4/18/2013,22,History
2,Kayla Woodcock,Kayla,kaylaw@wideworldimporters.com,kaylaw@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/15/2013,4/19/2013,35,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,4/15/2013,4/19/2013,4,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/7/2013,4/24/2013,48,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,2/11/2013,4/26/2013,74,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/26/2013,5/3/2013,97,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/8/2013,5/5/2013,86,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,4/19/2013,5/12/2013,23,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,3/9/2013,5/18/2013,70,History
12,Henry Forlonge,Henry,henryf@wideworldimporters.com,henryf@wideworldimporters.com,(415) 555-0102,1,0,1,1,2/11/2013,5/19/2013,97,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,4/18/2013,5/26/2013,38,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,4/26/2013,5/29/2013,33,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/22/2013,6/3/2013,132,History
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,3/31/2013,6/4/2013,65,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/26/2013,6/20/2013,25,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/5/2013,6/22/2013,48,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,4/24/2013,7/5/2013,72,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/3/2013,7/19/2013,77,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/20/2013,7/26/2013,156,History
2,Kayla Woodcock,Kayla,kaylaw@wideworldimporters.com,kaylaw@wideworldimporters.com,(415) 555-0102,1,1,1,1,4/19/2013,7/28/2013,100,History
18,Katie Darwin,Katie,katied@wideworldimporters.com,katied@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/1/2013,8/22/2013,233,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,7/5/2013,8/31/2013,57,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,4/18/2013,9/2/2013,137,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,6/22/2013,9/7/2013,77,History
14,Lily Code,Lily,lilyc@wideworldimporters.com,lilyc@wideworldimporters.com,(415) 555-0102,1,1,1,1,6/20/2013,9/14/2013,86,History
11,Ethan Onslow,Ethan,ethano@wideworldimporters.com,ethano@wideworldimporters.com,(415) 555-0102,1,0,1,1,7/19/2013,10/6/2013,79,History
4,Isabella Rupp,Isabella,isabellar@wideworldimporters.com,isabellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,3/17/2013,10/23/2013,220,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,5/18/2013,11/2/2013,168,History
13,Hudson Hollinworth,Hudson,hudsonh@wideworldimporters.com,hudsonh@wideworldimporters.com,(415) 555-0102,1,1,1,1,9/7/2013,11/4/2013,58,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,7/26/2013,11/5/2013,102,History
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,1/1/2013,11/16/2013,319,History
6,Sophia Hinton,Sophia,sophiah@wideworldimporters.com,sophiah@wideworldimporters.com,(415) 555-0102,1,1,1,1,11/2/2013,11/23/2013,21,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,9/2/2013,11/25/2013,84,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,6/3/2013,12/1/2013,181,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,12/1/2013,12/6/2013,5,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/29/2013,12/10/2013,195,History
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,6/4/2013,12/20/2013,199,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,12/10/2013,12/24/2013,14,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,11/5/2013,12/28/2013,53,History
20,Jack Potter,Jack,jackp@wideworldimporters.com,jackp@wideworldimporters.com,(415) 555-0102,1,1,1,1,1/31/2013,1/28/2014,362,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,8/31/2013,2/3/2014,156,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/12/2013,3/2/2014,294,History
3,Hudson Onslow,Hudson,hudsono@wideworldimporters.com,hudsono@wideworldimporters.com,(415) 555-0102,1,1,1,1,12/28/2013,3/24/2014,86,History
8,Anthony Grosse,Anthony,anthonyg@wideworldimporters.com,anthonyg@wideworldimporters.com,(415) 555-0102,1,1,1,1,11/25/2013,4/14/2014,140,History
15,Taj Shand,Taj,tajs@wideworldimporters.com,tajs@wideworldimporters.com,(415) 555-0102,1,1,1,1,12/6/2013,4/23/2014,138,History
7,Amy Trefl,Amy,amyt@wideworldimporters.com,amyt@wideworldimporters.com,(415) 555-0102,1,1,1,1,2/3/2014,4/23/2014,79,History
17,Piper Koch,Piper,piperk@wideworldimporters.com,piperk@wideworldimporters.com,(415) 555-0102,1,0,1,1,12/20/2013,4/24/2014,125,History
10,Stella Rosenhain,Stella,stellar@wideworldimporters.com,stellar@wideworldimporters.com,(415) 555-0102,1,0,1,1,12/24/2013,4/25/2014,122,History
19,Jai Shand,Jai,jais@wideworldimporters.com,jais@wideworldimporters.com,(415) 555-0102,1,0,1,1,3/2/2014,5/7/2014,66,History
9,Alica Fatnowna,Alica,alicaf@wideworldimporters.com,alicaf@wideworldimporters.com,(415) 555-0102,1,0,1,1,11/16/2013,5/8/2014,173,History
12,Henry Forlonge,Henry,henryf@wideworldimporters.com,henryf@wideworldimporters.com,(415) 555-0102,1,0,1,1,5/19/2013,5/12/2014,358,History
