OrderID,Order_Date,CustomerID,Customer_Name,StockItemID,StockItem_Name,Quantity,UnitPrice,TaxRate,Line_Revenue,Tax_Amount,Transaction_Date
21600,2/7/2014,921,Victoria Lacusta,56,IT joke mug - hardware: part of the computer that can be kicked (White),1,13,15,13,1.95,5/15/2015
70564,4/16/2016,877,Leyla Siavashi,35,Developer joke mug - fun was unexpected at this time (Black),4,13,15,52,7.8,4/9/2014
63014,12/16/2015,401,Wingtip Toys (Head Office),63,RC toy sedan car with remote control (Pink) 1/50 scale,4,25,15,100,15,6/10/2014
59445,10/20/2015,1,Tailspin Toys (Head Office),12,USB food flash drive - donut,10,32,15,320,48,1/26/2014
15906,10/25/2013,856,Satish Mittal,103,Alien officer hoodie (Black) XXL,8,35,15,280,42,8/6/2015
46714,4/9/2015,401,Wingtip Toys (Head Office),82,"""The Gu"" red shirt XML tag t-shirt (White) XL",72,18,15,1296,194.4,12/7/2015
45403,3/20/2015,811,Surendra Sahu,20,DBA joke mug - you might be a DBA if (White),5,13,15,65,9.75,11/26/2014
31732,7/29/2014,845,Emilie Hrdlickova,85,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",36,18,15,648,97.2,8/12/2014
46677,4/9/2015,804,Aleksandrs Riekstins,133,Furry gorilla with big eyes slippers (Black) XL,4,32,15,128,19.2,10/26/2014
71033,4/23/2016,866,Jay Bhuiyan,222,Chocolate beetles 250g,240,8.55,10,2052,205.2,8/12/2014
49843,5/27/2015,1,Tailspin Toys (Head Office),218,Void fill 300 L bag (White) 300L,80,37.5,15,3000,450,11/25/2013
72483,5/14/2016,808,Jackson Kolios,214,Air cushion film 200mmx200mm 325m,6,90,15,540,81,8/5/2013
4732,4/4/2013,1,Tailspin Toys (Head Office),74,Ride on vintage American toy coupe (Black) 1/12 scale,9,285,15,2565,384.75,3/12/2015
36268,10/20/2014,809,Madhu Dwivedi,213,Air cushion film 200mmx100mm 325m,9,87,15,783,117.45,4/22/2014
48027,4/29/2015,884,Anindya Ghatak,71,Ride on toy sedan car (Yellow) 1/12 scale,5,230,15,1150,172.5,10/25/2014
18669,12/17/2013,1016,Aive Petrov,156,10 mm Double sided bubble wrap 10m,70,15,15,1050,157.5,8/11/2014
4217,3/25/2013,1,Tailspin Toys (Head Office),22,DBA joke mug - it depends (White),3,13,15,39,5.85,4/17/2013
6372,5/3/2013,874,Daniel Martensson,180,Shipping carton (Brown) 279x254x217mm,225,1.11,15,249.75,37.4625,3/18/2016
15486,10/16/2013,401,Wingtip Toys (Head Office),131,Furry gorilla with big eyes slippers (Black) M,9,32,15,288,43.2,2/6/2015
67633,3/1/2016,401,Wingtip Toys (Head Office),141,Furry animal socks (Pink) XL,96,5,15,480,72,3/31/2016
60111,10/30/2015,828,Sercan Celik,101,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",108,18,15,1944,291.6,3/24/2013
61627,11/23/2015,1,Tailspin Toys (Head Office),93,"""The Gu"" red shirt XML tag t-shirt (Black) M",36,18,15,648,97.2,5/16/2016
39230,12/10/2014,1,Tailspin Toys (Head Office),28,DBA joke mug - two types of DBAs (White),8,13,15,104,15.6,1/3/2015
47864,4/27/2015,1,Tailspin Toys (Head Office),131,Furry gorilla with big eyes slippers (Black) M,5,32,15,160,24,11/26/2013
5299,4/15/2013,831,Bhaavan Rai,141,Furry animal socks (Pink) XL,84,5,15,420,63,6/25/2013
68059,3/7/2016,933,Joel Carrillo,86,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",12,18,15,216,32.4,3/18/2014
42655,2/4/2015,1,Tailspin Toys (Head Office),38,Developer joke mug - inheritance is the OO way to become wealthy (White),5,13,15,65,9.75,9/5/2015
16500,11/5/2013,401,Wingtip Toys (Head Office),216,Void fill 100 L bag (White) 100L,70,12.5,15,875,131.25,12/24/2014
31215,7/21/2014,401,Wingtip Toys (Head Office),124,Ogre battery-powered slippers (Green) L,3,32,15,96,14.4,6/24/2014
28554,6/9/2014,1,Tailspin Toys (Head Office),22,DBA joke mug - it depends (White),4,13,15,52,7.8,10/13/2014
39190,12/9/2014,831,Bhaavan Rai,43,Developer joke mug - understanding recursion requires understanding recursion (Black),8,13,15,104,15.6,3/5/2013
26742,5/9/2014,1,Tailspin Toys (Head Office),185,Shipping carton (Brown) 356x356x279mm,75,2.04,15,153,22.95,4/23/2015
29388,6/23/2014,401,Wingtip Toys (Head Office),178,Shipping carton (Brown) 500x310x310mm,200,2.55,15,510,76.5,8/9/2013
4204,3/25/2013,401,Wingtip Toys (Head Office),176,Bubblewrap dispenser (Red) 1.5m,6,240,15,1440,216,9/16/2013
33401,8/28/2014,989,Milinka Zujovic,30,Developer joke mug - Oct 31 = Dec 25 (White),2,13,15,26,3.9,3/27/2015
19278,12/28/2013,401,Wingtip Toys (Head Office),100,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",96,18,15,1728,259.2,12/31/2014
71128,4/26/2016,1,Tailspin Toys (Head Office),138,Furry animal socks (Pink) S,84,5,15,420,63,5/13/2016
65642,1/26/2016,1,Tailspin Toys (Head Office),32,Developer joke mug - that's a hardware problem (White),1,13,15,13,1.95,4/27/2015
31470,7/24/2014,892,Bahaar Asef zade,129,Plush shark slippers (Gray) XL,3,32,15,96,14.4,2/6/2013
7865,5/30/2013,982,Yves Belisle,210,Packing knife with metal insert blade (Yellow) 18mm,40,2.4,15,96,14.4,8/10/2015
59412,10/20/2015,1,Tailspin Toys (Head Office),194,Black and orange glass with care despatch tape  48mmx100m,216,4.1,15,885.6,132.84,7/9/2013
8639,6/12/2013,875,Philip Walker,68,Ride on toy sedan car (Red) 1/12 scale,9,230,15,2070,310.5,2/17/2016
7740,5/28/2013,401,Wingtip Toys (Head Office),46,Developer joke mug - a foo walks into a bar (White),9,13,15,117,17.55,3/31/2016
59956,10/28/2015,930,Shantanu Huq,144,Halloween zombie mask (Light Brown) L,72,18,15,1296,194.4,9/9/2014
72783,5/19/2016,971,Dhanishta Mokkapati,169,20 mm Anti static bubble wrap (Blue) 20m,60,45,15,2700,405,5/4/2015
45411,3/20/2015,801,Eric Torres,188,3 kg Courier post bag (White) 300x190x95mm,200,0.66,15,132,19.8,2/19/2013
30202,7/4/2014,943,Drazenka Jelic,135,Animal with big feet slippers (Brown) M,2,32,15,64,9.6,6/21/2014
37303,11/4/2014,987,Akhil Nadar,8,USB food flash drive - dim sum 10 drive variety pack,9,240,15,2160,324,3/28/2015
58896,10/12/2015,1,Tailspin Toys (Head Office),193,Black and orange glass with care despatch tape 48mmx75m,168,3.7,15,621.6,93.24,2/1/2016
51487,6/19/2015,1,Tailspin Toys (Head Office),112,Superhero action jacket (Blue) L,7,30,15,210,31.5,10/20/2014
63334,12/22/2015,401,Wingtip Toys (Head Office),202,Red and white urgent  heavy despatch tape  48mmx100m,72,4.1,15,295.2,44.28,10/23/2013
